model,explainer,idsds
vgg13,Grad-CAM,0.5956575849864949
vgg13,Grad-CAMpp,0.48671848085169067
vgg13,SG-CAMpp,0.34202128984775737
vgg13,XG-CAM,0.63645865252014
vgg13,Layer-CAM,0.5130413851373758
vgg13,Dummy-Gaussian-1,0.02445523816795139
vgg13,Dummy-Gaussian-2,0.03269095338235974
vgg13,Dummy-Gaussian-4,0.029934684451697103
vgg13,Dummy-Gaussian-6,0.03617166760198634
vgg13,Dummy-Gaussian-8,0.028771417563835718
vgg13,Dummy-Gaussian-12,0.03394209666162055
vgg13,Dummy-Gaussian-16,0.026660056559247032
vgg13,Dummy-Gaussian-20,0.025766737436196247
vgg13,Dummy-Gaussian-24,0.025380007839244653
vgg13,Dummy-Gaussian-28,0.02863404841212288
vgg13,Dummy-Gaussian-32,0.02436035326197025
vgg13,Dummy-Gaussian-40,0.023976100120422256
vgg13,Dummy-Gaussian-48,0.029343890313895494
vgg13,Dummy-Gaussian-56,0.02160660135402961
vgg13,Dummy-Gaussian-64,0.02364205325662918
vgg13,Dummy-Gaussian-80,0.023806577318817825
vgg13,Dummy-Gaussian-96,0.02694900451180293
vgg13,Dummy-Gaussian-128,0.028197566565491557
vgg13,Dummy-Gaussian-160,0.021892965969419698
vgg13,Dummy-Gaussian-256,0.021587193680058767
vgg13,Dummy-Entropy-3,0.09993273345010162
vgg13,Dummy-Entropy-5,0.10004840744446464
vgg13,Dummy-Entropy-7,0.10013209765423936
vgg13,Dummy-Entropy-9,0.10068283009008042
vgg13,Dummy-Entropy-13,0.10058414757786491
vgg13,Dummy-Entropy-17,0.10098765574475595
vgg13,Dummy-Entropy-31,0.10257096909524231
vgg13,Dummy-Random,0.004084114147431738
vgg13,Dummy-Random-Squared,0.004084114147431738
vgg13,Dummy-Random-Plus-One,0.0040975661752348
vgg16,Gradient-raw,-0.01750161191165224
vgg16,Gradient-abs,0.26641150979892353
vgg16,IxG-raw,0.1394955841117995
vgg16,IxG-abs,0.21586720846890886
vgg16,IxG-SG-raw,0.03967027035132176
vgg16,IxG-SG-abs,0.22264623412454443
vgg16,Grad-CAM,0.5422010729566552
vgg16,Grad-CAMpp,0.4401358504145996
vgg16,SG-CAMpp,0.3140047415603858
vgg16,XG-CAM,0.5735181449803367
vgg16,Layer-CAM,0.4655920588985016
vgg16,Dummy-Gaussian-1,-0.0005574332786444438
vgg16,Dummy-Gaussian-2,0.013592767252165416
vgg16,Dummy-Gaussian-4,0.021611048756816284
vgg16,Dummy-Gaussian-6,0.026183083412791155
vgg16,Dummy-Gaussian-8,0.011656624018748007
vgg16,Dummy-Gaussian-12,0.02262899496837559
vgg16,Dummy-Gaussian-16,0.0030868766745860217
vgg16,Dummy-Gaussian-20,0.011680165844122055
vgg16,Dummy-Gaussian-24,0.0013600619395677585
vgg16,Dummy-Gaussian-28,0.006068487092715746
vgg16,Dummy-Gaussian-32,0.007203808521486465
vgg16,Dummy-Gaussian-40,0.006344126858911587
vgg16,Dummy-Gaussian-48,0.006580556901152957
vgg16,Dummy-Gaussian-56,0.0014810162512931895
vgg16,Dummy-Gaussian-64,0.010308074882026137
vgg16,Dummy-Gaussian-80,0.004188315324651177
vgg16,Dummy-Gaussian-96,0.010341809345688374
vgg16,Dummy-Gaussian-128,0.020745993361286214
vgg16,Dummy-Gaussian-160,-0.0009666534181631922
vgg16,Dummy-Gaussian-256,-0.002024972093625955
vgg16,Dummy-Entropy-3,0.08405603249319347
vgg16,Dummy-Entropy-5,0.08394553823165395
vgg16,Dummy-Entropy-7,0.08411232983561848
vgg16,Dummy-Entropy-9,0.08422581979522445
vgg16,Dummy-Entropy-13,0.08385772750935233
vgg16,Dummy-Entropy-17,0.08415506865258653
vgg16,Dummy-Entropy-31,0.08365721121685553
vgg16,Dummy-Random,-0.00016125683872319574
vgg16,Dummy-Random-Squared,-0.00016125683872319574
vgg16,Dummy-Random-Plus-One,-0.00016868842872351612
vgg19,Gradient-raw,-0.0271805790886326
vgg19,Gradient-abs,0.2521794544991077
vgg19,IxG-raw,0.1433274354860474
vgg19,IxG-abs,0.20746127663402836
vgg19,IxG-SG-raw,0.06096624731972823
vgg19,IxG-SG-abs,0.2193534359958622
vgg19,Grad-CAM,0.507285802533116
vgg19,Grad-CAMpp,0.3877307282841756
vgg19,SG-CAMpp,0.29583020857676573
vgg19,XG-CAM,0.5359529987126415
vgg19,Layer-CAM,0.4348675233539754
vgg19,Dummy-Gaussian-1,-0.013240276994533019
vgg19,Dummy-Gaussian-2,-0.001349344522323418
vgg19,Dummy-Gaussian-4,0.005268147658693493
vgg19,Dummy-Gaussian-6,0.00933283882668911
vgg19,Dummy-Gaussian-8,-0.004327247826748887
vgg19,Dummy-Gaussian-12,0.005699325185580239
vgg19,Dummy-Gaussian-16,-0.012215427623025599
vgg19,Dummy-Gaussian-20,-0.002681781637635629
vgg19,Dummy-Gaussian-24,-0.011396381079826387
vgg19,Dummy-Gaussian-28,-0.01109886912858999
vgg19,Dummy-Gaussian-32,-0.007811599249865905
vgg19,Dummy-Gaussian-40,-0.007703151656790688
vgg19,Dummy-Gaussian-48,-0.009668565682098852
vgg19,Dummy-Gaussian-56,-0.010231028569849893
vgg19,Dummy-Gaussian-64,-5.316939414565337e-05
vgg19,Dummy-Gaussian-80,-0.008253699993334368
vgg19,Dummy-Gaussian-96,-0.006529800940893188
vgg19,Dummy-Gaussian-128,0.004525899166522984
vgg19,Dummy-Gaussian-160,-0.014359651678121933
vgg19,Dummy-Gaussian-256,-0.0159439274320873
vgg19,Dummy-Entropy-3,0.08431784663856545
vgg19,Dummy-Entropy-5,0.08424568325535615
vgg19,Dummy-Entropy-7,0.08424954912647392
vgg19,Dummy-Entropy-9,0.08430818991056345
vgg19,Dummy-Entropy-13,0.08447505302070926
vgg19,Dummy-Entropy-17,0.08403965059889014
vgg19,Dummy-Entropy-31,0.08248255880416738
vgg19,Dummy-Random,0.0005561854722286617
vgg19,Dummy-Random-Squared,0.0005561854722286617
vgg19,Dummy-Random-Plus-One,0.0005483373522539306
vgg16_bn,Gradient-raw,-0.005495494144637212
vgg16_bn,Gradient-abs,0.25193804261444613
vgg16_bn,IxG-raw,0.08385239387623515
vgg16_bn,IxG-abs,0.20094690437990076
vgg16_bn,IxG-SG-raw,-0.0038191060263003816
vgg16_bn,IxG-SG-abs,0.17993957205619954
vgg16_bn,Grad-CAM,0.5196101780554091
vgg16_bn,Grad-CAMpp,0.4062519680316688
vgg16_bn,SG-CAMpp,0.272280853532765
vgg16_bn,XG-CAM,0.5382335632007355
vgg16_bn,Layer-CAM,0.400147696090927
vgg16_bn,Dummy-Gaussian-1,-0.007711984772399792
vgg16_bn,Dummy-Gaussian-2,0.0012696603089984192
vgg16_bn,Dummy-Gaussian-4,0.007028592967427947
vgg16_bn,Dummy-Gaussian-6,0.006195921772524751
vgg16_bn,Dummy-Gaussian-8,-0.0009572003483406405
vgg16_bn,Dummy-Gaussian-12,0.0068385094352960635
vgg16_bn,Dummy-Gaussian-16,-0.005549208007308975
vgg16_bn,Dummy-Gaussian-20,-0.0009766841259932959
vgg16_bn,Dummy-Gaussian-24,-0.0067768603540531505
vgg16_bn,Dummy-Gaussian-28,-0.00946427757266323
vgg16_bn,Dummy-Gaussian-32,-0.005218409049799472
vgg16_bn,Dummy-Gaussian-40,0.0001025679092738929
vgg16_bn,Dummy-Gaussian-48,-0.007457939330054247
vgg16_bn,Dummy-Gaussian-56,-0.004786483799610768
vgg16_bn,Dummy-Gaussian-64,0.004707565365350242
vgg16_bn,Dummy-Gaussian-80,-0.004347446419186396
vgg16_bn,Dummy-Gaussian-96,-0.0038272747580382752
vgg16_bn,Dummy-Gaussian-128,0.006794680609214296
vgg16_bn,Dummy-Gaussian-160,-0.006562410058651088
vgg16_bn,Dummy-Gaussian-256,-0.008167236944693193
vgg16_bn,Dummy-Entropy-3,0.06840585679608696
vgg16_bn,Dummy-Entropy-5,0.06822638261812715
vgg16_bn,Dummy-Entropy-7,0.06787517128069488
vgg16_bn,Dummy-Entropy-9,0.06785868502118884
vgg16_bn,Dummy-Entropy-13,0.06762045017606522
vgg16_bn,Dummy-Entropy-17,0.06713275744827298
vgg16_bn,Dummy-Entropy-31,0.06570586209034787
vgg16_bn,Dummy-Random,0.006840099931426945
vgg16_bn,Dummy-Random-Squared,0.006840099931426945
vgg16_bn,Dummy-Random-Plus-One,0.006865244185872144
x_resnet50,Gradient-raw,-0.04992802627041147
x_resnet50,Gradient-abs,0.20439114723126034
x_resnet50,IxG-raw,0.24398719467394317
x_resnet50,IxG-abs,0.15752800227916802
x_resnet50,IxG-SG-raw,0.1221814037876178
x_resnet50,IxG-SG-abs,0.20972470048432315
x_resnet50,Grad-CAM,0.41630035116926584
x_resnet50,Grad-CAMpp,0.3259157907363815
x_resnet50,SG-CAMpp,0.2590701893808761
x_resnet50,XG-CAM,0.41630035116926584
x_resnet50,Layer-CAM,0.3234934248999111
x_resnet50,Dummy-Gaussian-1,0.017772038324673257
x_resnet50,Dummy-Gaussian-2,0.03235330121115247
x_resnet50,Dummy-Gaussian-4,0.04443504131688946
x_resnet50,Dummy-Gaussian-6,0.04819218363173624
x_resnet50,Dummy-Gaussian-8,0.0301563908787033
x_resnet50,Dummy-Gaussian-12,0.044572663953854376
x_resnet50,Dummy-Gaussian-16,0.02037527289620089
x_resnet50,Dummy-Gaussian-20,0.035274657646915106
x_resnet50,Dummy-Gaussian-24,0.019752668202409826
x_resnet50,Dummy-Gaussian-28,0.02043917698666133
x_resnet50,Dummy-Gaussian-32,0.025721643335794034
x_resnet50,Dummy-Gaussian-40,0.026593747182470442
x_resnet50,Dummy-Gaussian-48,0.022505519696694537
x_resnet50,Dummy-Gaussian-56,0.02276792400855472
x_resnet50,Dummy-Gaussian-64,0.035764524952841964
x_resnet50,Dummy-Gaussian-80,0.02249140789941651
x_resnet50,Dummy-Gaussian-96,0.02733364216405919
x_resnet50,Dummy-Gaussian-128,0.044063648606617885
x_resnet50,Dummy-Gaussian-160,0.01674067965091738
x_resnet50,Dummy-Gaussian-256,0.01622573792969521
x_resnet50,Dummy-Entropy-3,0.059953196705379255
x_resnet50,Dummy-Entropy-5,0.059911362567218816
x_resnet50,Dummy-Entropy-7,0.060217509029947124
x_resnet50,Dummy-Entropy-9,0.060368726220061
x_resnet50,Dummy-Entropy-13,0.06055791792265454
x_resnet50,Dummy-Entropy-17,0.060899502976029724
x_resnet50,Dummy-Entropy-31,0.061575411931654715
x_resnet50,Dummy-Random,-0.007641960684350211
x_resnet50,Dummy-Random-Squared,-0.007641960684350211
x_resnet50,Dummy-Random-Plus-One,-0.007635209835932438
x_vgg16,Gradient-raw,-0.06625781589719754
x_vgg16,Gradient-abs,0.2907348817681548
x_vgg16,IxG-raw,0.3301862320253114
x_vgg16,IxG-abs,0.23764151084854052
x_vgg16,IxG-SG-raw,0.13018623202531077
x_vgg16,IxG-SG-abs,0.2592673674108948
x_vgg16,Grad-CAM,0.5440999171991483
x_vgg16,Grad-CAMpp,0.46509723950758064
x_vgg16,SG-CAMpp,0.33058663489051016
x_vgg16,XG-CAM,0.5772340827542725
x_vgg16,Layer-CAM,0.47841687783958753
x_vgg16,Dummy-Gaussian-1,0.06380309012263377
x_vgg16,Dummy-Gaussian-2,0.07865927041048322
x_vgg16,Dummy-Gaussian-4,0.081185844367293
x_vgg16,Dummy-Gaussian-6,0.08388208487349724
x_vgg16,Dummy-Gaussian-8,0.07530815723041438
x_vgg16,Dummy-Gaussian-12,0.08238283973210508
x_vgg16,Dummy-Gaussian-16,0.065905571739985
x_vgg16,Dummy-Gaussian-20,0.0712723895237729
x_vgg16,Dummy-Gaussian-24,0.06557608989657296
x_vgg16,Dummy-Gaussian-28,0.06557583413507123
x_vgg16,Dummy-Gaussian-32,0.06697906579811215
x_vgg16,Dummy-Gaussian-40,0.07233450966380528
x_vgg16,Dummy-Gaussian-48,0.06616142777731616
x_vgg16,Dummy-Gaussian-56,0.06610935096635114
